"","LR","pval_PAAD.US","pval_PACA.AU","pval_PACA.CA","hr_PAAD.US","hr_PACA.AU","hr_PACA.CA","median_day_low_PAAD.US","median_day_low_PACA.AU","median_day_low_PACA.CA","median_day_high_PAAD.US","median_day_high_PACA.AU","median_day_high_PACA.CA","diff_day_PAAD.US","diff_day_PACA.AU","diff_day_PACA.CA","meta_pval","meta_qval_BH","meta_qval_holm","meta_qval_storey"
"1","IL20->IL20RB",0.00169279631567376,0.00529285642647903,0.0109189224643587,0.353203637005493,0.388721438457189,0.673716700692898,164,546,629.5,194,332,444,30,-214,-185.5,9.56622991654469e-07,0.00045043785842128,0.00171522502403646,0.000233338791107498
"2","IL26->IL20RB",0.00169279631567376,0.00529285642647903,0.0109189224643587,0.353203637005493,0.388721438457189,0.673716700692898,164,546,629.5,194,332,444,30,-214,-185.5,9.56622991654469e-07,0.00045043785842128,0.00171522502403646,0.000233338791107498
"3","IL19->IL20RB",0.00220496417005478,0.0392794196419509,0.00647614231970506,0.375763485431058,0.496609797945247,0.65538497818845,165.5,499,629.5,194,337.5,456,28.5,-161.5,-173.5,1.83865634899502e-05,0.00329854949009706,0.0328200158295611,0.00170873636848625
"4","IL24->IL20RB",0.00234200545937235,0.0115094100114662,0.00434592396169897,0.393459261091906,0.444297219391024,0.648498066659649,173,519.5,629.5,188,332,444,15,-187.5,-185.5,1.0043207545625e-06,0.00045043785842128,0.00179873847142143,0.000233338791107498
"5","DSC3->DSG3",0.00344095406464473,0.300075078875075,0.0427679323269269,0.466858409712702,0.715644987266885,0.653053970341814,203.5,420.5,617.5,181,361,456,-22.5,-59.5,-161.5,0.00692063421348908,0.109872723707959,1,0.0569169932020353
"6","SEMA4B->DCBLD2",0.00587932348178821,0.000726754903498272,0.000583040788063482,0.506918155767172,0.297848398648767,0.499288367801551,231,547.5,643,181,332,383,-50,-215.5,-260,6.19263949711289e-08,0.000111095952578205,0.000111095952578205,5.75506582914471e-05
"7","SEMA3C->NRP1",0.00665700249684886,0.40994600844836,0.0277930373540298,0.430767657589946,0.682209853646552,0.745722409348058,236,487.5,643,179,348,437,-57,-139.5,-206,0.0146271365207576,0.160693072569627,1,0.083243285598071
"8","HGF->MET",0.00729646701908404,0.234613438217021,0.483772873181314,0.417174557116694,0.670217309412819,0.907109218783602,160.5,434.5,543,239,400,463,78.5,-34.5,-80,0.0636926325817697,0.321872064370971,1,0.166738290282327
"9","DSC3->DSG4",0.00850173623717854,0.0292817048368389,0.0125814600336565,0.435142615739097,0.423907819514166,0.552216947722096,247.5,446,642,164,388,456,-83.5,-58,-186,2.12927966363204e-05,0.00347266156050534,0.0379863491991956,0.00179893105187429
"10","DSC3->DSG1",0.014697813458813,0.0292817048368389,0.0174971835833473,0.485423086856269,0.423907819514166,0.58869003175413,249,446,642,160,388,456,-89,-58,-186,3.87240195299899e-05,0.00404171834582093,0.0689287547633819,0.00209371760206002
"11","DSG1->DSC3",0.014697813458813,0.0292817048368389,0.0174971835833473,0.485423086856269,0.423907819514166,0.58869003175413,249,446,642,160,388,456,-89,-58,-186,3.87240195299899e-05,0.00404171834582093,0.0689287547633819,0.00209371760206002
"12","PTGS2->CAV1",0.0153721921130716,0.111746272483907,0.168970713478062,0.567437231098961,0.592606443498506,0.750234909541489,218.5,434.5,628,181,351,456,-37.5,-83.5,-172,0.0043262972235668,0.0784731411527494,1,0.0406511742933141
"13","DKK1->KREMEN1",0.0177394093145242,0.00216547514130594,0.0198397707577384,0.469491236833596,0.339072812569407,0.710154883401645,195.5,547.5,617.5,181,343,456,-14.5,-204.5,-161.5,1.04636920819331e-05,0.00246868153309623,0.0187090814424964,0.00127884269448624
"14","EREG->ERBB4",0.0180323531796012,0.00220191440534734,0.259290485124652,0.473018148673535,0.395307089613028,0.989012909219208,171.5,446,560,188,343,456,16.5,-103,-104,0.00364006857539131,0.0733739665646293,1,0.0380096662322283
"15","FGA->ITGA2B",0.025122764327162,0.000555836506416996,0.0446951962471264,0.43620056072606,0.292752023259959,0.749522285984745,226,546,630.5,179,337,455,-47,-209,-175.5,5.8087368568162e-05,0.00481688996480791,0.103046991839919,0.0024952771181922
"16","LAMA3->SDC2",0.0254202407736225,0.388132067401852,0.358598493349131,0.661357165834145,0.726809091732061,0.778807784004657,165.5,439,556,194,388,512,28.5,-51,-44,0.0767282210932229,0.348482097825929,1,0.18052299536789
"17","AREG->EGFR",0.026291566989747,0.0135174681468345,0.02374764425113,0.614285503233251,0.448102385274962,0.696548150390866,199.5,460,616.5,181,332,455,-18.5,-128,-161.5,4.27890205927883e-05,0.00404171834582093,0.0760360895933847,0.00209371760206002
"18","ANXA2->TLR2",0.0273620243696323,0.491357850119251,0.163692905189597,0.636605172129386,0.875019356797842,0.773320897737585,179,425,601,194,388,455,15,-37,-146,0.0529651496479639,0.287937813540749,1,0.149159445791736
"19","ANXA2->ROBO4",0.0312905603549264,0.39834281722057,0.196482256537662,0.665593433685352,0.749452767599387,0.785792648481238,179,425,600,194,388,455,15,-37,-145,0.0409083906356557,0.256606222752187,1,0.132928848426538
"20","DSC1->DSG3",0.0334272230967675,0.27095441047085,0.137541869446488,0.608572852628005,0.701632241198477,0.728256138223786,181,439,574,194,332,480,13,-107,-94,0.0143843435812612,0.160693072569627,1,0.083243285598071
"21","WNT3A->FZD6",0.0338559039203424,0.0752174358554207,0.306094307329953,0.535047478050877,0.563458766991369,0.833032697341429,231,508,574,181,332,471,-50,-176,-103,0.011926671510745,0.14360032678038,1,0.0743887886578063
"22","L1CAM->EGFR",0.036252537506659,0.0238416529865901,0.376947228319376,0.664109426296534,0.488053789443831,0.903316591243041,231,470.5,561,181,332,480,-50,-138.5,-81,0.0139128640627999,0.158978841583841,1,0.0823552683534636
"23","RELN->ITGA3",0.039167555754255,0.000155198475339957,0.0531388134206757,0.608983779321436,0.238519727869412,0.673133575720692,179,590.5,626,188,332,444,9,-258.5,-182,0.000131744504074375,0.00738592625966963,0.232265560683122,0.00382610624844187
"24","SEMA7A->ITGB1",0.0403933744039334,0.0830847011741654,0.0678880451071534,0.562646416808494,0.597993706824732,0.678795181167208,179,460,606,194,332,444,15,-128,-162,0.00116800286710809,0.0361275369584814,1,0.0187150250405889
"25","PTGS2->PTGDR2",0.0446942722598198,0.281526363439811,0.0647585894908617,0.688072022701203,0.668741471096273,0.687669518415196,248.5,434.5,643,179,388,456,-69.5,-46.5,-187,0.00996115721421541,0.133861767138944,1,0.0693439557438383
"26","ADAM9->ITGB1",0.0473133499549487,0.244672836918381,0.0726503824769954,0.568138448587975,0.761003804904274,0.73711092950842,179,442,627.5,194,337,446,15,-105,-181.5,0.0080803359061167,0.116691299415868,1,0.0604491967746541
"27","NAMPT->INSR",0.0525545148170909,0.139749704589519,0.0986877900458021,0.590892241631388,0.719402787340814,0.811561319489827,208,470.5,583,181,332,463,-27,-138.5,-120,0.00410669018550977,0.0777535504566225,1,0.0402784071735277
"28","ANXA1->EGFR",0.0546646174243235,0.0303225631329843,0.0517023327865656,0.597602784230439,0.51341713369483,0.72264409319366,217.5,470.5,617.5,181,337,437,-36.5,-133.5,-180.5,0.000425651669854834,0.0169693132382127,0.74489042224596,0.00879055559585254
"29","MDK->ITGB1",0.0599331583696761,0.18342593046639,0.255732139771116,0.595846238518351,0.682480776157394,0.752677593759125,171.5,460,556,194,337,480,22.5,-123,-76,0.0207199432505051,0.190623477904647,1,0.0987480316305399
"30","TGM2->ITGB3",0.06346697753987,0.0358626926503961,0.00244184516144741,0.509826152379002,0.483776812034417,0.565077600611851,215.5,518,642,181,348,456,-34.5,-170,-186,0.000175682083338557,0.00955071689422339,0.309551830842538,0.00494752537479598
"31","ANXA1->FPR2",0.0646838671754451,0.0603038008124656,0.112708731036991,0.569280850143545,0.544050032785447,0.761238267731478,156.5,470.5,629,194,348,455,37.5,-122.5,-174,0.00223829104383864,0.0565562553893877,1,0.0292976445372052
"32","SPP1->ITGA4",0.0667341604647282,0.180718549288876,0.132812179308248,0.576988441648727,0.594857424349912,0.684254280609447,194,470.5,576.5,181,361,456,-13,-109.5,-120.5,0.00916447165827765,0.127450094224419,1,0.0660225386407213
"33","DKK1->LRP4",0.0674892489287402,0.0929942390147144,0.0578405278928318,0.594966617240854,0.609787532355689,0.685759717194026,222.5,460,608,181,351,450.5,-41.5,-109,-157.5,0.00173441604680728,0.046775260258327,1,0.0242308289109408
"34","ADAM17->ITGB1",0.0718955070429068,0.071765287926429,0.194402013133869,0.606636855952005,0.588906187414036,0.736493266823977,162.5,470.5,575,194,332,456,31.5,-138.5,-119,0.00643933372452686,0.104073555872083,1,0.0539128700206589
"35","FGB->ITGB1",0.0718955070429068,0.050986709013803,0.342048617085757,0.606636855952005,0.57255036765214,0.818937452814265,162.5,470.5,557,194,332,480,31.5,-138.5,-77,0.0167499608103524,0.170701654936455,1,0.0884279974656762
"36","SPP1->ITGA9",0.0739790766091842,0.180718549288876,0.132812179308248,0.565138013940246,0.594857424349912,0.684254280609447,206.5,470.5,576.5,179,361,456,-27.5,-109.5,-120.5,0.00969832732096588,0.131809084953127,1,0.0682806117757156
"37","SPP1->ITGB3",0.0739790766091842,0.180718549288876,0.132812179308248,0.565138013940246,0.594857424349912,0.684254280609447,206.5,470.5,576.5,179,361,456,-27.5,-109.5,-120.5,0.00969832732096588,0.131809084953127,1,0.0682806117757156
"38","FGG->ITGB1",0.0749075575405235,0.071765287926429,0.342048617085757,0.608708753281704,0.588906187414036,0.818937452814265,162.5,470.5,557,194,332,480,31.5,-138.5,-77,0.0194550783890019,0.181783388697236,1,0.0941686302983133
"39","SEMA5A->MET",0.079862719049654,0.25626693456216,0.239970568439932,0.568737082169716,0.679670546817706,0.834572283459254,160,460,560,240,351,456,80,-109,-104,0.0318671245286923,0.230455867830216,1,0.119382269047284
"40","EPGN->EGFR",0.0810139943626981,0.127906124607114,0.625201313804454,0.633923986803272,0.729186354932607,0.960754532146537,171.5,458,574,194,332,467,22.5,-126,-107,0.096724521796715,0.386986003678208,1,0.200469042700539
"41","SERPINE1->LRP2",0.0843373250567876,0.299941071808203,0.145153520661502,0.585888612832098,0.711648501180677,0.731137707252734,236,460,582.5,179,351,456,-57,-109,-126.5,0.0247331316395639,0.19881056990393,1,0.102989163040973
"42","EGF->EGFR",0.0852309383399052,0.0065338277011282,0.522962784546036,0.642382202756948,0.444696811130169,0.892723058857198,195.5,487.5,575,181,272,467,-14.5,-215.5,-108,0.0387165617323465,0.251657651260252,1,0.130365356774916
"43","NPNT->ITGB1",0.0933154142557647,0.147601511566402,0.285352297316418,0.642049037194874,0.686166084678776,0.773790474899065,179,460,530.5,194,332,515,15,-128,-15.5,0.0242925255229933,0.197859606964982,1,0.10249653894552
"44","ANXA1->FPR1",0.0949452449279149,0.0603038008124656,0.0593362796992938,0.623842137183083,0.544050032785447,0.711961043907748,180,470.5,632,183,348,437,3,-122.5,-195,0.00164683014083511,0.046775260258327,1,0.0242308289109408
"45","ANXA1->FPR3",0.0966871139513812,0.0603038008124656,0.0593362796992938,0.625014189497221,0.544050032785447,0.711961043907748,180,470.5,632,183,348,437,3,-122.5,-195,0.00168726036034558,0.046775260258327,1,0.0242308289109408
"46","ANXA1->DYSF",0.0974795187402653,0.0603038008124656,0.0443344979325835,0.625537210874316,0.544050032785447,0.687237228286427,180,470.5,643,183,348,437,3,-122.5,-206,0.00137613978125156,0.0411465794594218,1,0.0213150225492158
"47","ADAM9->ITGA3",0.101141204826116,0.260744384027229,0.00836931881080283,0.631338262368799,0.741710610536782,0.671448666778278,162.5,441,658,202,351,383,39.5,-90,-275,0.00845962711995287,0.11950055947398,1,0.0619044682035785
"48","PLAU->LRP2",0.102860118747082,0.702691884419773,0.0135975075102333,0.664917539141455,0.745191748558643,0.653314507351106,233,420.5,630,181,400,389,-52,-20.5,-241,0.0916090286199291,0.379553342596196,1,0.196618726571102
"49","FGB->ITGA2B",0.104234725833913,0.0206232781396026,0.0466013811797297,0.566786805413503,0.449112517730171,0.676575707460734,210.5,518,588.5,179,337,456,-31.5,-181,-132.5,0.000840103000259201,0.0274026324084547,1,0.0141952924244919
"50","WNT7A->FZD10",0.106313989294983,0.379605874086666,0.257118071212776,0.6220126280351,0.659596442859486,0.831546907247814,162.5,425,518.5,219,388,547,56.5,-37,28.5,0.0683725392454023,0.3332090081017,1,0.172611128667301
"51","ANGPT1->ITGB1",0.111685230661297,0.071765287926429,0.342048617085757,0.626135668060862,0.588906187414036,0.818937452814265,162.5,470.5,557,216,332,480,53.5,-138.5,-77,0.0241860400540377,0.197859606964982,1,0.10249653894552
"52","COL2A1->ITGB1",0.111685230661297,0.071765287926429,0.342048617085757,0.626135668060862,0.588906187414036,0.818937452814265,162.5,470.5,557,216,332,480,53.5,-138.5,-77,0.0241860400540377,0.197859606964982,1,0.10249653894552
"53","ICAM4->ITGB1",0.111685230661297,0.071765287926429,0.342048617085757,0.626135668060862,0.588906187414036,0.818937452814265,162.5,470.5,557,216,332,480,53.5,-138.5,-77,0.0241860400540377,0.197859606964982,1,0.10249653894552
"54","LAMA1->ITGB1",0.111685230661297,0.071765287926429,0.342048617085757,0.626135668060862,0.588906187414036,0.818937452814265,162.5,470.5,557,216,332,480,53.5,-138.5,-77,0.0241860400540377,0.197859606964982,1,0.10249653894552
"55","MATN1->ITGB1",0.111685230661297,0.071765287926429,0.342048617085757,0.626135668060862,0.588906187414036,0.818937452814265,162.5,470.5,557,216,332,480,53.5,-138.5,-77,0.0241860400540377,0.197859606964982,1,0.10249653894552
"56","PLG->ITGB1",0.111685230661297,0.071765287926429,0.342048617085757,0.626135668060862,0.588906187414036,0.818937452814265,162.5,470.5,557,216,332,480,53.5,-138.5,-77,0.0241860400540377,0.197859606964982,1,0.10249653894552
"57","SPP1->ITGB5",0.116439819485299,0.244100879591353,0.0426704279957071,0.657901839725413,0.653469149403943,0.643498493581726,187.5,460,608.5,183,361,444,-4.5,-99,-164.5,0.0109256246183726,0.140167287360596,1,0.0726103829286691
"58","ADM->CALCR",0.118022263215554,0.230168656864009,0.0162726240267288,0.738554600892261,0.619626186606491,0.587025033619086,171.5,508,627.5,194,337,437,22.5,-171,-190.5,0.00806883866013202,0.116691299415868,1,0.0604491967746541
"59","WNT7B->FZD10",0.118545993812744,0.0606755110821436,0.0013459467967345,0.645000896898126,0.610049677101779,0.583379577015046,180,470.5,629.5,188,361,437,8,-109.5,-192.5,0.000981221727985656,0.0313722853672411,1,0.016251678239321
"60","WNT7A->FZD9",0.11913017321047,0.0898819570694527,0.0605511026067018,0.654262641795214,0.524024719786337,0.692574827412382,159.5,441,606,219,359,455,59.5,-82,-151,0.00326460557817483,0.0684506976256209,1,0.0354592819760034
"61","WNT7B->FZD8",0.121372831810009,0.170456041693576,0.07809758983587,0.662145695903122,0.715146484389219,0.784973686200746,171.5,439.5,608.5,197,392,446,25.5,-47.5,-162.5,0.00843713408259963,0.11950055947398,1,0.0619044682035785
"62","FGA->ITGB3",0.124706649921219,0.155055944469306,0.0481482784144899,0.525556280014815,0.606503160686442,0.724067842787918,208,470.5,640,181,348,446,-27,-122.5,-194,0.00587646563923578,0.0985269098765326,1,0.0510395598689788
"63","EREG->EGFR",0.130314103474724,0.0225877096519967,0.404435319038953,0.706566722889192,0.460745248830042,0.920341994613038,186.5,458,560,183,332,480,-3.5,-126,-80,0.0288537779521338,0.222605885037262,1,0.115315769171936
"64","FGA->ITGB1",0.134615119687099,0.050986709013803,0.342048617085757,0.651182066779265,0.57255036765214,0.818937452814265,171.5,470.5,557,194,332,480,22.5,-138.5,-77,0.0244842991896465,0.197859606964982,1,0.10249653894552
"65","EFNB3->EPHB6",0.139306326843511,0.164413770261812,0.254546799711098,0.660427329749541,0.609500164026988,0.756769398985643,186.5,420.5,590,183,361,455.5,-3.5,-59.5,-134.5,0.0289984229076038,0.222605885037262,1,0.115315769171936
"66","TGM2->SDC4",0.139867282452407,0.0506805257594698,0.00723546780286521,0.653507532242232,0.504607097140321,0.573830136246136,231,518,639,181,348,456,-50,-170,-183,0.0012894884247037,0.0392091904053972,1,0.0203114034898512
"67","F7->F3",0.141906514575114,0.272839752364949,0.0709032407064601,0.618563614552679,0.573565031928951,0.645569006955384,233,439.5,530.5,167,392,480,-66,-47.5,-50.5,0.0190905133981713,0.180254637033259,1,0.0933766962756575
"68","PLG->F3",0.141906514575114,0.272839752364949,0.0709032407064601,0.618563614552679,0.573565031928951,0.645569006955384,233,439.5,530.5,167,392,480,-66,-47.5,-50.5,0.0190905133981713,0.180254637033259,1,0.0933766962756575
"69","HAS2->HMMR",0.147911468322847,0.00131168335574716,0.014339296512349,0.597455077060481,0.464623150440553,0.678276894262476,231,519.5,600,179,287,437,-52,-232.5,-163,0.000729288821673493,0.0242285952978194,1,0.012551056780264
"70","LAMC2->ITGA3",0.149211582320338,0.100933978883502,0.00962106774071747,0.712392520518499,0.555021123041861,0.58061859350915,160,460,632,239,348,444,79,-112,-188,0.00292145246960748,0.0659058838013546,1,0.0341410007297752
"71","CALR->ITGA3",0.151074456933374,0.0207534708172319,0.303768789668591,0.730040704541351,0.50254856832583,0.774421401563012,162.5,502.5,575,197,343,480,34.5,-159.5,-95,0.0179293809529558,0.172931771126896,1,0.0895832569674657
"72","FGF2->NRP1",0.156625657764519,0.191945728574233,0.164576849703393,0.601661319219595,0.712784174592898,0.781725223323044,236.5,518,627.5,164,343,456,-72.5,-175,-171.5,0.0225204607023421,0.197859606964982,1,0.10249653894552
"73","IL31->IL31RA",0.158240075266348,0.000416636857594077,0.0455189911699434,0.643647593012558,0.349747001541666,0.69898049037985,233,547.5,628,160,343,455.5,-73,-204.5,-172.5,0.00141860318395125,0.0417208870821072,1,0.0216125291728174
"74","NMU->NMUR2",0.162359618485631,0.419575657421957,0.0515143602128871,0.664822512083226,0.719034105364667,0.693074364032641,160.5,413.5,618,202,412,446,41.5,-1.5,-172,0.04236283562653,0.258499752088418,1,0.133909746985534
"75","NTF4->NTRK1",0.164951701357209,0.0323237033677407,0.0476221085318539,0.750390959401634,0.501152431394242,0.712583341522809,236.5,487.5,632,164,348,437,-72.5,-139.5,-195,0.00244794623645649,0.0585548739760392,1,0.0303329821230128
"76","CLEC11A->ITGB1",0.173219445430836,0.071765287926429,0.342048617085757,0.674760627997693,0.588906187414036,0.818937452814265,161,470.5,557,194,332,480,33,-138.5,-77,0.0337160799241863,0.235356604606966,1,0.121920981044164
"77","HRAS->CAV1",0.200872719161203,0.315521583298217,0.048690081810886,0.722928119771657,0.657762247920925,0.703876228383583,195.5,420.5,628,181,388,455,-14.5,-32.5,-173,0.0300738249627102,0.227263464078256,1,0.117728518994347
"78","RTN4->RTN4R",0.202629091710767,0.176641680868028,0.139490050645093,0.807304834242809,0.648737993242592,0.705148277532119,233,460,560,181,361,456,-52,-99,-104,0.0232675288947595,0.197859606964982,1,0.10249653894552
"79","IL18->IL1RAPL1",0.205505995448804,0.511145014827744,0.00352740090917336,0.791862483177098,0.828845576447046,0.634943803643577,191,425,682.5,181,392,437,-10,-33,-245.5,0.0622542556392839,0.316385650472735,1,0.163896181959068
